mill_id,mill_name,year,month,heat_score,anomaly_pixels,anomaly_frac,mean_swir,peak_swir,zscore_max,prediction,threshold_used
1,Baoshan Iron & Steel,2023,11,0.079613,13276,0.031185,1158.26,3047.5,10.365,ACTIVE,0.05664
1,Baoshan Iron & Steel,2023,12,0.074681,12739,0.029924,1173.51,3012.0,9.872,ACTIVE,0.05664
1,Baoshan Iron & Steel,2024,1,0.07901,13255,0.031136,1152.76,2976.0,12.311,ACTIVE,0.05664
1,Baoshan Iron & Steel,2024,2,0.062458,11403,0.026785,1335.97,3115.0,12.795,ACTIVE,0.05664
1,Baoshan Iron & Steel,2024,3,0.053251,10001,0.023492,1397.77,3123.5,8.45,IDLE,0.05664
1,Baoshan Iron & Steel,2024,4,0.06083,10561,0.024808,1439.96,3497.92,12.825,ACTIVE,0.05664
1,Baoshan Iron & Steel,2024,5,0.052939,9927,0.023318,1760.17,3940.0,7.93,IDLE,0.05664
1,Baoshan Iron & Steel,2024,6,0.051653,9656,0.022682,1865.85,4187.75,8.879,IDLE,0.05664
1,Baoshan Iron & Steel,2024,7,0.160243,27188,0.063864,2398.64,6704.92,5.359,ACTIVE,0.05664
1,Baoshan Iron & Steel,2024,8,0.08544,15598,0.036639,1925.39,4701.5,5.722,ACTIVE,0.05664
1,Baoshan Iron & Steel,2024,9,0.061264,11048,0.025951,1633.66,3892.0,8.571,ACTIVE,0.05664
1,Baoshan Iron & Steel,2024,10,0.079058,13670,0.03211,1502.78,3898.0,5.847,ACTIVE,0.05664
1,Baoshan Iron & Steel,2024,11,0.08105,13673,0.032118,1186.21,3160.0,6.449,ACTIVE,0.05664
1,Baoshan Iron & Steel,2024,12,0.073081,12575,0.029538,1212.7,3087.75,12.821,ACTIVE,0.05664
2,Wuhan Iron & Steel,2019,3,0.036553,6756,0.016006,1403.55,2986.51,4.749,IDLE,0.05664
2,Wuhan Iron & Steel,2019,5,0.098623,14319,0.033923,1574.41,4942.03,5.033,ACTIVE,0.05664
2,Wuhan Iron & Steel,2019,6,0.056234,9738,0.02307,1599.37,3776.5,6.851,IDLE,0.05664
2,Wuhan Iron & Steel,2019,7,0.077064,15010,0.03556,2010.24,4450.5,4.589,ACTIVE,0.05664
2,Wuhan Iron & Steel,2019,8,0.050622,8659,0.020514,1591.2,3763.75,5.543,IDLE,0.05664
2,Wuhan Iron & Steel,2019,9,0.046394,7978,0.018901,1518.56,3546.51,5.031,IDLE,0.05664
2,Wuhan Iron & Steel,2019,11,0.04568,7872,0.01865,1318.85,3074.0,4.778,IDLE,0.05664
2,Wuhan Iron & Steel,2019,12,0.039412,6574,0.015575,1283.22,2958.0,8.087,IDLE,0.05664
2,Wuhan Iron & Steel,2020,1,0.049466,7824,0.018536,1220.48,3023.25,6.04,IDLE,0.05664
2,Wuhan Iron & Steel,2020,2,0.048613,7529,0.017837,1220.84,3074.26,5.762,IDLE,0.05664
2,Wuhan Iron & Steel,2020,3,0.045789,7475,0.017709,1362.07,3279.5,5.491,IDLE,0.05664
2,Wuhan Iron & Steel,2020,4,0.055982,8888,0.021057,1391.0,3525.0,5.47,IDLE,0.05664
2,Wuhan Iron & Steel,2020,5,0.042049,8587,0.020344,1566.36,3121.75,5.16,IDLE,0.05664
2,Wuhan Iron & Steel,2020,6,0.065043,10842,0.025686,1696.92,4264.5,6.962,ACTIVE,0.05664
2,Wuhan Iron & Steel,2020,8,0.055538,9211,0.021822,1549.42,3840.75,5.384,IDLE,0.05664
2,Wuhan Iron & Steel,2020,9,0.055003,9319,0.022078,1569.4,3808.5,5.191,IDLE,0.05664
2,Wuhan Iron & Steel,2020,10,0.057025,9909,0.023475,1323.73,3183.75,5.346,ACTIVE,0.05664
2,Wuhan Iron & Steel,2020,11,0.044924,7410,0.017555,1250.04,2983.25,5.217,IDLE,0.05664
2,Wuhan Iron & Steel,2020,12,0.043057,6976,0.016527,1177.11,2803.25,5.66,IDLE,0.05664
2,Wuhan Iron & Steel,2021,1,0.038775,6463,0.015312,1235.8,2828.5,5.336,IDLE,0.05664
2,Wuhan Iron & Steel,2021,2,0.040744,6485,0.015364,1237.9,2987.0,5.172,IDLE,0.05664
2,Wuhan Iron & Steel,2021,3,0.048296,7717,0.018282,1247.27,3099.5,5.377,IDLE,0.05664
2,Wuhan Iron & Steel,2021,4,0.057659,9648,0.022857,1303.54,3205.25,6.061,ACTIVE,0.05664
2,Wuhan Iron & Steel,2021,5,0.050623,8793,0.020832,1555.67,3633.75,9.705,IDLE,0.05664
2,Wuhan Iron & Steel,2021,6,0.057742,9043,0.021424,1544.29,3938.0,13.964,ACTIVE,0.05664
2,Wuhan Iron & Steel,2021,9,0.048645,8015,0.018988,1395.14,3350.5,5.4,IDLE,0.05664
2,Wuhan Iron & Steel,2021,10,0.084008,12560,0.029756,1401.93,4133.0,5.614,ACTIVE,0.05664
2,Wuhan Iron & Steel,2021,11,0.038491,6377,0.015108,1240.14,2893.0,4.843,IDLE,0.05664
2,Wuhan Iron & Steel,2021,12,0.037645,6135,0.014534,1267.99,2978.0,4.812,IDLE,0.05664
2,Wuhan Iron & Steel,2022,1,0.029943,5571,0.013198,1325.44,2714.51,4.778,IDLE,0.05664
2,Wuhan Iron & Steel,2022,3,0.035813,6158,0.014589,1442.12,3215.0,5.841,IDLE,0.05664
2,Wuhan Iron & Steel,2022,4,0.072638,10643,0.025214,1310.24,3727.0,11.587,ACTIVE,0.05664
2,Wuhan Iron & Steel,2022,5,0.064413,9574,0.022682,1432.53,3871.0,10.419,ACTIVE,0.05664
2,Wuhan Iron & Steel,2022,7,0.059368,9536,0.022592,1625.9,4075.51,11.276,ACTIVE,0.05664
2,Wuhan Iron & Steel,2022,8,0.057905,8816,0.020886,1565.39,4070.5,6.404,ACTIVE,0.05664
2,Wuhan Iron & Steel,2022,9,0.047514,7348,0.017408,1482.1,3597.0,6.518,IDLE,0.05664
2,Wuhan Iron & Steel,2022,10,0.054487,8408,0.019919,1322.31,3398.0,6.05,IDLE,0.05664
2,Wuhan Iron & Steel,2022,11,0.054035,8814,0.020881,1317.66,3303.75,5.659,IDLE,0.05664
2,Wuhan Iron & Steel,2022,12,0.041589,6808,0.016129,1322.74,3138.5,5.685,IDLE,0.05664
2,Wuhan Iron & Steel,2023,1,0.037898,6158,0.014589,1342.72,3145.5,5.554,IDLE,0.05664
2,Wuhan Iron & Steel,2023,3,0.035781,5790,0.013717,1420.61,3256.75,8.921,IDLE,0.05664
2,Wuhan Iron & Steel,2023,4,0.0558,8647,0.020486,1374.74,3490.01,7.941,IDLE,0.05664
2,Wuhan Iron & Steel,2023,5,0.042147,7630,0.018076,1548.18,3385.5,7.23,IDLE,0.05664
2,Wuhan Iron & Steel,2023,6,0.066223,9886,0.023421,1589.33,4395.52,11.09,ACTIVE,0.05664
2,Wuhan Iron & Steel,2023,8,0.077314,12619,0.029896,1659.97,4385.5,6.849,ACTIVE,0.05664
2,Wuhan Iron & Steel,2023,9,0.054272,8403,0.019908,1457.15,3759.01,6.555,IDLE,0.05664
2,Wuhan Iron & Steel,2023,10,0.053252,8379,0.019851,1260.15,3202.75,5.621,IDLE,0.05664
2,Wuhan Iron & Steel,2023,11,0.054329,8520,0.020185,1169.46,2996.5,5.536,IDLE,0.05664
2,Wuhan Iron & Steel,2023,12,0.048676,7587,0.017974,1208.08,3081.0,5.234,IDLE,0.05664
2,Wuhan Iron & Steel,2024,2,0.044441,7001,0.016586,1317.85,3302.0,4.916,IDLE,0.05664
2,Wuhan Iron & Steel,2024,3,0.040799,7139,0.016913,1334.81,3000.01,5.37,IDLE,0.05664
2,Wuhan Iron & Steel,2024,4,0.060515,9746,0.023089,1449.51,3722.0,7.118,ACTIVE,0.05664
2,Wuhan Iron & Steel,2024,5,0.063176,10536,0.024961,1487.81,3722.0,8.269,ACTIVE,0.05664
2,Wuhan Iron & Steel,2024,8,0.083136,13377,0.031692,1674.61,4626.0,6.332,ACTIVE,0.05664
2,Wuhan Iron & Steel,2024,9,0.055675,8926,0.021147,1499.81,3789.5,7.39,IDLE,0.05664
2,Wuhan Iron & Steel,2024,10,0.054581,8892,0.021066,1272.59,3163.5,8.447,IDLE,0.05664
2,Wuhan Iron & Steel,2024,11,0.046632,7644,0.018109,1263.75,3078.25,5.367,IDLE,0.05664
2,Wuhan Iron & Steel,2024,12,0.037075,6351,0.015046,1309.38,2996.5,5.174,IDLE,0.05664
3,Maanshan Iron & Steel,2019,1,0.094897,15873,0.037127,1099.9,2994.0,17.277,ACTIVE,0.05664
3,Maanshan Iron & Steel,2019,4,0.079449,14258,0.03335,1499.86,3623.75,17.18,ACTIVE,0.05664
3,Maanshan Iron & Steel,2019,5,0.089224,15023,0.035139,1678.06,4293.87,17.159,ACTIVE,0.05664
3,Maanshan Iron & Steel,2019,7,0.068611,12684,0.029668,2842.44,6658.93,5.007,ACTIVE,0.05664
3,Maanshan Iron & Steel,2019,9,0.085299,14918,0.034894,1371.56,3483.5,19.328,ACTIVE,0.05664
3,Maanshan Iron & Steel,2019,10,0.067391,13401,0.031345,1390.63,3079.37,14.54,ACTIVE,0.05664
3,Maanshan Iron & Steel,2019,11,0.090338,14885,0.034817,1276.66,3339.5,13.011,ACTIVE,0.05664
3,Maanshan Iron & Steel,2019,12,0.100595,16408,0.038379,1102.65,3121.5,15.862,ACTIVE,0.05664
3,Maanshan Iron & Steel,2020,2,0.096834,15397,0.036014,1027.59,2880.18,18.563,ACTIVE,0.05664
3,Maanshan Iron & Steel,2020,3,0.096626,14564,0.034066,1341.38,3929.0,18.765,ACTIVE,0.05664
3,Maanshan Iron & Steel,2020,4,0.078834,14050,0.032863,1540.18,3733.0,19.834,ACTIVE,0.05664
3,Maanshan Iron & Steel,2020,6,0.108475,17655,0.041296,1775.8,5022.37,15.3,ACTIVE,0.05664
3,Maanshan Iron & Steel,2020,7,0.100805,16663,0.038975,1580.52,4333.0,18.111,ACTIVE,0.05664
3,Maanshan Iron & Steel,2020,8,0.088538,14867,0.034774,1617.8,4153.3,14.853,ACTIVE,0.05664
3,Maanshan Iron & Steel,2020,9,0.078307,13330,0.031179,1474.63,3770.5,18.423,ACTIVE,0.05664
3,Maanshan Iron & Steel,2020,10,0.078388,14344,0.033551,1251.27,3035.5,22.215,ACTIVE,0.05664
3,Maanshan Iron & Steel,2020,11,0.079836,14005,0.032758,1204.85,3057.0,12.816,ACTIVE,0.05664
3,Maanshan Iron & Steel,2020,12,0.086687,13879,0.032463,1072.36,2930.75,12.394,ACTIVE,0.05664
3,Maanshan Iron & Steel,2021,1,0.097413,14985,0.03505,1022.19,2939.87,20.111,ACTIVE,0.05664
3,Maanshan Iron & Steel,2021,2,0.08353,13917,0.032552,1247.04,3343.0,14.997,ACTIVE,0.05664
3,Maanshan Iron & Steel,2021,3,0.119291,18844,0.044077,1345.78,4057.0,10.149,ACTIVE,0.05664
3,Maanshan Iron & Steel,2021,4,0.078629,14079,0.032931,1433.61,3551.5,19.444,ACTIVE,0.05664
3,Maanshan Iron & Steel,2021,5,0.137086,25775,0.060289,1890.18,4611.25,12.8,ACTIVE,0.05664
3,Maanshan Iron & Steel,2021,6,0.097606,17587,0.041137,1796.37,4506.87,16.353,ACTIVE,0.05664
3,Maanshan Iron & Steel,2021,7,0.102324,15836,0.037041,1653.93,4849.5,15.14,ACTIVE,0.05664
3,Maanshan Iron & Steel,2021,8,0.213747,28836,0.067448,2071.82,7654.0,8.094,ACTIVE,0.05664
3,Maanshan Iron & Steel,2021,9,0.080979,14803,0.034625,1426.79,3492.93,12.043,ACTIVE,0.05664
3,Maanshan Iron & Steel,2021,10,0.081667,14323,0.033502,1359.77,3494.75,13.399,ACTIVE,0.05664
3,Maanshan Iron & Steel,2021,11,0.094061,15943,0.037291,1238.56,3318.25,13.233,ACTIVE,0.05664
3,Maanshan Iron & Steel,2021,12,0.079787,13514,0.03161,1181.85,3074.0,14.814,ACTIVE,0.05664
3,Maanshan Iron & Steel,2022,2,0.08628,14690,0.03436,1233.03,3265.25,14.731,ACTIVE,0.05664
3,Maanshan Iron & Steel,2022,3,0.067119,12943,0.030274,1433.67,3273.0,12.541,ACTIVE,0.05664
3,Maanshan Iron & Steel,2022,4,0.073248,14073,0.032917,1586.13,3602.87,14.419,ACTIVE,0.05664
3,Maanshan Iron & Steel,2022,5,0.078719,14349,0.033563,1777.89,4197.5,17.151,ACTIVE,0.05664
3,Maanshan Iron & Steel,2022,6,0.084173,15006,0.0351,1880.67,4555.5,16.624,ACTIVE,0.05664
3,Maanshan Iron & Steel,2022,7,0.062228,12803,0.029947,2018.06,4200.5,9.857,ACTIVE,0.05664
3,Maanshan Iron & Steel,2022,8,0.125986,19470,0.045541,1734.45,5418.5,12.951,ACTIVE,0.05664
3,Maanshan Iron & Steel,2022,10,0.082986,14695,0.034372,1362.11,3467.5,11.358,ACTIVE,0.05664
3,Maanshan Iron & Steel,2022,11,0.08274,13946,0.03262,1299.67,3416.05,21.068,ACTIVE,0.05664
3,Maanshan Iron & Steel,2022,12,0.084051,14530,0.033986,1233.74,3224.0,10.405,ACTIVE,0.05664
3,Maanshan Iron & Steel,2023,1,0.079742,13733,0.032122,1243.42,3221.3,10.905,ACTIVE,0.05664
3,Maanshan Iron & Steel,2023,2,0.109694,16961,0.039672,1329.49,4089.75,9.099,ACTIVE,0.05664
3,Maanshan Iron & Steel,2023,3,0.077033,13192,0.030857,1375.56,3540.5,20.969,ACTIVE,0.05664
3,Maanshan Iron & Steel,2023,4,0.064746,13292,0.03109,1709.68,3619.0,18.974,ACTIVE,0.05664
3,Maanshan Iron & Steel,2023,5,0.088362,15082,0.035277,1734.49,4485.54,16.257,ACTIVE,0.05664
3,Maanshan Iron & Steel,2023,6,0.091859,16333,0.038203,1931.73,4815.5,16.64,ACTIVE,0.05664
3,Maanshan Iron & Steel,2023,7,0.107024,17743,0.041501,1794.57,4973.5,14.612,ACTIVE,0.05664
3,Maanshan Iron & Steel,2023,9,0.168165,21260,0.049728,1660.02,6621.0,9.855,ACTIVE,0.05664
3,Maanshan Iron & Steel,2023,10,0.083912,14316,0.033486,1331.86,3530.25,10.66,ACTIVE,0.05664
3,Maanshan Iron & Steel,2023,11,0.076209,14068,0.032906,1293.97,3145.5,9.633,ACTIVE,0.05664
3,Maanshan Iron & Steel,2023,12,0.078946,13398,0.031338,1215.56,3183.25,12.573,ACTIVE,0.05664
3,Maanshan Iron & Steel,2024,1,0.080477,13683,0.032005,1269.01,3324.75,15.473,ACTIVE,0.05664
3,Maanshan Iron & Steel,2024,2,0.078427,13400,0.031343,1354.63,3516.0,21.223,ACTIVE,0.05664
3,Maanshan Iron & Steel,2024,4,0.081977,14951,0.034971,1514.85,3760.0,19.196,ACTIVE,0.05664
3,Maanshan Iron & Steel,2024,5,0.086204,15792,0.036938,1823.29,4487.0,15.901,ACTIVE,0.05664
3,Maanshan Iron & Steel,2024,7,0.084478,14402,0.033687,1771.22,4607.87,14.645,ACTIVE,0.05664
3,Maanshan Iron & Steel,2024,8,0.090032,15135,0.035401,1607.26,4296.5,16.14,ACTIVE,0.05664
3,Maanshan Iron & Steel,2024,9,0.085524,14620,0.034197,1444.13,3815.5,15.072,ACTIVE,0.05664
3,Maanshan Iron & Steel,2024,10,0.086838,14641,0.034246,1364.84,3680.0,20.254,ACTIVE,0.05664
3,Maanshan Iron & Steel,2024,11,0.08943,14488,0.033888,1216.93,3431.5,13.006,ACTIVE,0.05664
3,Maanshan Iron & Steel,2024,12,0.075223,12791,0.029919,1227.85,3178.48,15.076,ACTIVE,0.05664
4,Shagang Yonggang,2019,1,0.089765,16654,0.038954,1403.91,3601.0,9.88,ACTIVE,0.05664
4,Shagang Yonggang,2019,3,0.095455,18094,0.042322,1533.22,3908.0,10.049,ACTIVE,0.05664
4,Shagang Yonggang,2019,5,0.095731,17627,0.04123,2059.56,5289.0,15.084,ACTIVE,0.05664
4,Shagang Yonggang,2019,6,0.106963,18048,0.042215,2069.78,5872.5,14.048,ACTIVE,0.05664
4,Shagang Yonggang,2019,7,0.17758,27963,0.065406,2328.21,7158.5,8.823,ACTIVE,0.05664
